fare_id,origin_id,destination_id,Price,currency_type,origin_station,destination_station
329,DELN,CONC,5,USD,Del Norte,Concord
330,DELN,PHIL,4.5,USD,Del Norte,Pleasant Hill
331,DELN,WCRK,4.35,USD,Del Norte,Walnut Creek
332,DELN,LAFY,3.95,USD,Del Norte,Lafayette
333,DELN,ORIN,3.55,USD,Del Norte,Orinda
334,DELN,ROCK,2.65,USD,Del Norte,Rockridge
335,DELN,WOAK,3,USD,Del Norte,West Oakland
336,DELN,EMBR,5,USD,Del Norte,Embarcadero
337,DELN,MONT,5,USD,Del Norte,Montgomery Street
338,DELN,POWL,5,USD,Del Norte,Powell Street
339,DELN,CIVC,5,USD,Del Norte,Civic Center
340,DELN,16TH,5.05,USD,Del Norte,16th Street Mission
341,DELN,24TH,5.1,USD,Del Norte,24th Street Mission
342,DELN,GLEN,5.3,USD,Del Norte,Glen Park
343,DELN,BALB,5.35,USD,Del Norte,Balboa Park
344,DELN,DALY,5.5,USD,Del Norte,Daly City
345,DELN,OAKL,10.3,USD,Del Norte,Oakland City Center/12th St
346,DELN,WARM,6.2,USD,Del Norte,Warm Springs/South Fremont
347,DELN,MLPT,7,USD,Del Norte,Milpitas
348,DELN,BERY,7.3,USD,Del Norte,Berryessa/North San Jose
349,DELN,PCTR,5.95,USD,Del Norte,Pittsburg Center
350,DELN,ANTC,6.65,USD,Del Norte,Antioch
351,PLZA,SSAN,5.5,USD,El Cerrito Plaza,South San Francisco
352,PLZA,SBRN,5.8,USD,El Cerrito Plaza,San Bruno
353,PLZA,SFIA,10.95,USD,El Cerrito Plaza,San Francisco International Airport
354,PLZA,MLBR,6.15,USD,El Cerrito Plaza,Millbrae
355,PLZA,WDUB,5.35,USD,El Cerrito Plaza,West Dublin/Pleasanton
356,PLZA,RICH,2.15,USD,El Cerrito Plaza,Richmond
357,PLZA,DELN,2.15,USD,El Cerrito Plaza,Del Norte
358,PLZA,PLZA,6.4,USD,El Cerrito Plaza,El Cerrito Plaza
359,PLZA,NBRK,2.15,USD,El Cerrito Plaza,North Berkeley
360,PLZA,DBRK,2.15,USD,El Cerrito Plaza,Downtown Berkeley
361,PLZA,ASHB,2.15,USD,El Cerrito Plaza,Ashby
362,PLZA,MCAR,2.3,USD,El Cerrito Plaza,MacArthur
363,PLZA,19TH,2.55,USD,El Cerrito Plaza,19th Street Oakland
364,PLZA,12TH,2.55,USD,El Cerrito Plaza,12th Street Oakland
365,PLZA,LAKE,2.55,USD,El Cerrito Plaza,Lake Merritt
366,PLZA,FTVL,3.05,USD,El Cerrito Plaza,Fruitvale
367,PLZA,COLS,3.4,USD,El Cerrito Plaza,Coliseum
368,PLZA,SANL,3.7,USD,El Cerrito Plaza,San Leandro
369,PLZA,BAYF,3.95,USD,El Cerrito Plaza,Bay Fair
370,PLZA,HAYW,4.3,USD,El Cerrito Plaza,Hayward
371,PLZA,SHAY,4.6,USD,El Cerrito Plaza,South Hayward
372,PLZA,UCTY,5.15,USD,El Cerrito Plaza,Union City
373,PLZA,FRMT,5.55,USD,El Cerrito Plaza,Fremont
374,PLZA,CAST,4.3,USD,El Cerrito Plaza,Castro Valley
375,PLZA,DUBL,5.5,USD,El Cerrito Plaza,Dublin/Pleasanton
376,PLZA,PITT,5.6,USD,El Cerrito Plaza,Pittsburg/Bay Point
